address,chain,source_count,sources,categories,etherscan_reputation,etherscan_labels,etherscan_nametag,tier
0x4fafc9291a0112a0ee0928361c02848ff2fdf6bd,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing543,CONFIRMED_MALICIOUS
0x501577cd4865d7d50664a1519a79f1c0e7069154,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing282,CONFIRMED_MALICIOUS
0x52005b77fbebf53cfd9527a388f58d0431aaaa3e,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing271,CONFIRMED_MALICIOUS
0x545f5e5c54d8ac72af1c7de8c070387b73841a24,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing374,CONFIRMED_MALICIOUS
0x560833296ef7a7f41b30c1065225fa9b33830c19,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing619,CONFIRMED_MALICIOUS
0x570ac27d1048dcba1a4c58fe80109b9cf9b0e2ef,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing432,CONFIRMED_MALICIOUS
0x57dcf20135b0cb9d167e8ebfe13b84bfd67645ed,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing261,CONFIRMED_MALICIOUS
0x5d3f32f4b2e99fb79d2f6a1cbf3aa7390f8fc751,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing93,CONFIRMED_MALICIOUS
0x5e5d6f6706420f932d796c0f28a83b26dabcfd8d,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_contract|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing79,CONFIRMED_MALICIOUS
0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing|scam_scamming,2,Phish / Hack,Fake_Phishing679,CONFIRMED_MALICIOUS
0x602026bd56bf9ca9d86926669e4353035aca2a88,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing408,CONFIRMED_MALICIOUS
0x6122ee683dbee50fd432fe5bdd8ac055aa3d42b1,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing364,CONFIRMED_MALICIOUS
0x62404bfb3e1c464f17e3af0c139e39d0703ae4a1,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing179,CONFIRMED_MALICIOUS
0x629b2aa7fdda8f7527d6f8ea742c1d5774e567ea,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing448,CONFIRMED_MALICIOUS
0x62ee4a3c690c9660762c52bf1a232365c86c879b,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing124,CONFIRMED_MALICIOUS
