mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
tooLsNYLiVqzg8o4m3L2Uetbn62mvMWRqkog6PQeYKL,ok,1,0,32.3221,54.6433,73207,0,0.0,,0,unknown,0,68878,Mint Authority still enabled|Large Amount of LP Unlocked|Single holder ownership|Low Liquidity|High holder concentration|Low amount of LP Providers|Mutable metadata
GGEMxCsqM74URiXdY46VcaSW73a4yfHfJKrJrUmDVpEF,ok,1,0,97.8996,99.9897,1199,0,5.89,,0,unknown,0,74882,Mint Authority still enabled|Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Missing file metadata
5qKDWkBejLtRh1UGFV7e58QEkdn2fRyH5ehVXqUYujNW,ok,0,0,81.0118,95.7097,2648,3,10847.26,,0,unknown,0,101,Mutable metadata
24a1k6wSDQUSwoRXJyvkr25kF5do8f6Ddff6A2fTc1pM,ok,0,0,92.8521,96.9648,1502,1,94447.23,,0,unknown,0,101,Mutable metadata
F5WPg7xdZczNg5pynWjPK8TZLT52WmAiT1ZuKRbaLnEM,ok,0,0,72.4337,83.5044,6158,0,10795.24,,0,unknown,0,1,
3ag1Mj9AKz9FAkCQ6gAEhpLSX8B2pUbPdkb9iBsDLZNB,ok,0,0,16.9857,33.9998,40916,9,140881.99,,0,unknown,0,1,
HaP8r3ksG76PhQLTqR8FYBeNiQpejcFbQmiHbg787Ut1,ok,1,0,25.7448,52.8977,80643,0,18741.65,,0,unknown,0,53175,Mint Authority still enabled|Single holder ownership|Missing file metadata|Mutable metadata
JDwzFSxcUvLubUb9xAuuZNvh4bbcEJcuM9TezpmRHVWF,ok,1,0,89.2027,99.2477,6281,2,2738.08,,0,unknown,0,83483,Mint Authority still enabled|Large Amount of LP Unlocked|Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Missing file metadata|Mutable metadata
8eAUrugF8ToBmkg4CpJjTY9AcPx1UBMdExw2Ju84MCG4,ok,0,0,79.3374,91.2184,8238,0,6399.07,,0,unknown,0,1,
CCRJohp9bfQdhZCvCe7MzUQuXMJkKBi4XCjUq3A2YqN8,ok,0,0,16.9613,82.2672,1221,0,316.7,,0,unknown,0,4033,Low Liquidity|High holder concentration|Mutable metadata
G33s1LiUADEBLzN5jL6ocSXqrT2wsUq9W6nZ8o4k1b4L,ok,0,0,38.5998,60.2287,21123,0,31075.54,,0,unknown,0,1,
2ZZaE2gNQSPZLEFiNzBewgQhj3wGpx4oDzuAawh4DHBB,ok,0,0,73.9131,91.009,2827,0,11713.08,,0,unknown,0,1,
21kbezaCxz9dG2NtXp7pW1hAmtKe6ykiJkeT1EiGXDyY,ok,0,0,37.7766,78.0233,1634,0,1.59,,0,unknown,0,32314,Large Amount of LP Unlocked|Top 10 holders high ownership|Single holder ownership|Single holder ownership|Low Liquidity|Mutable metadata
4pb6mymm9hYQN6og9uF24eyZ2qwXCWCwGvcR1DkCgeEr,ok,0,0,76.3274,85.9451,8535,0,11429.64,,0,unknown,0,1,
31iQsahfa4CMiirU7REygBzuAWg4R4ah7Y4aDu9ZfXJP,ok,0,0,38.1253,56.7642,25346,8,17466.5,,0,unknown,0,1,
C1kzNkFfgdtP8VF1pFYA4S32RLPqk5KPaurCaQJwxfWb,ok,0,0,62.9451,85.3894,9025,0,20881.74,,0,unknown,0,1,
7JhmUcZrrfhyt5nTSu3AfsrUq2L9992a7AhwdSDxdoL2,ok,0,0,68.2533,76.7713,5879,9,6134.83,,0,unknown,0,16752,Top 10 holders high ownership|Single holder ownership|Low Liquidity|Mutable metadata
4YK1njyeCkBuXG6phNtidJWKCbBhB659iwGkUJx98P5Z,ok,0,0,14.9523,32.3496,40381,2,141096.41,,0,unknown,0,101,Mutable metadata
26bedy893CHqi5bcuUFhMgD6uTLw9V9iLWKAQjjDjpEA,ok,0,0,72.6092,83.3456,2228,10,12901.63,,0,unknown,0,101,Mutable metadata
HtpMfWQELCfCCeG6nHQDPfxLPrr2BNkZ2YVa9hKqpump,ok,0,0,84.1872,93.184,7400,0,12787.62,,0,unknown,0,1,
picobAEvs6w7QEknPce34wAE4gknZA9v5tTonnmHYdX,ok,0,0,29.7833,82.4516,35189,0,363.69,,0,unknown,0,56201,Mint Authority still enabled|Low Liquidity|Single holder ownership|High holder concentration|Mutable metadata
GvcNXdSehfNSNyhDVDj27kc459LzFqWozt9CSJywMy6r,ok,0,0,38.013,50.9392,30446,1,44230.18,,0,unknown,0,101,Mutable metadata
DoyVgrZbkAVMbTVGqa9mFNgjThsr337vxjFtEDWQibN7,ok,0,0,70.7344,86.2283,3584,0,3563.54,,0,unknown,0,1194,Low Liquidity
7qnTXCm7ZVMLdqNWzhfSm3RLKk8MrX3dYavB4hqJv5F9,ok,0,0,58.9757,74.1878,13102,0,11750.74,,0,unknown,0,101,Mutable metadata
