address,exists,owner_prog,acct_type,mint_auth,freeze_auth,supply,decimals,token2022_ext
12wp79xN7Cec4d92hsr9Kt96mpQkzp1YDuXb3oxu7NMB,1,RAYDIUM_AMM,,0,0,,,
12wuVJUaBvBALQpA9BHXABusz4DCc1jwfnbGoox4bKVE,1,SPL_TOKEN,mint,0,0,400552771898392,6,
12xeYhezRrpc5fg1t8sUV1bZ94rS6gx8yHgKvB1FF1By,1,ORCA_WHIRLPOOL,,0,0,,,
12yUaDTbQ9usotfD92e8Y7pe1dRLcefewZzaABLQFp9q,1,SPL_TOKEN,mint,1,0,17600177126090515996,5,
12z9qhkgdbtKxGQ7cxkDwtTcPRX8RdvC3ZhNETq8pump,1,SPL_TOKEN,mint,0,0,747896896149096,6,
12zG45FuFHZRNr7i6wh4cmYVMYS6hhbDSjSJ5VePpump,1,SPL_TOKEN,mint,0,0,999076379517293,6,
12zaqx6WkpZY9LPKWSp9Sm8tzzUPjvA3vLNqjV47JpW1,1,SPL_TOKEN,mint,1,0,2006780134689163703,9,
131dNFvNTQw8KWFTPwqJfoVY953wzAP6QCp5J3NKs6hU,1,RAYDIUM_AMM,,0,0,,,
132gvxGapyydHt1Fi7khFha2iTYo4jSBzkXJEZxFKyk2,1,SPL_TOKEN,mint,0,0,1000000000000000,6,
133M1CNgWwkMWQPjdPkBgxHFJtFo7wy8Re2Z8XuSnRGZ,1,RAYDIUM_AMM,,0,0,,,
133ikDhCB4Poj7R4WBqTpDR642TzpqntXdNG97AsMaVU,1,ORCA_WHIRLPOOL,,0,0,,,
1347cPz37RHSuwtGrFX6nocoR2GLkpHE4pULtpc6pBg8,1,RAYDIUM_AMM,,0,0,,,
134BC97mxQkdvHabYwdfKW56ZuYZ6MtuUjfyC3e7TcAA,1,RAYDIUM_AMM,,0,0,,,
134Evh84qgx18T2YY71fi7JWRQoRJYX7cXzvcHFzXQ9s,1,RAYDIUM_AMM,,0,0,,,
