mint,creator,rugged,score
28JeRjr6aSXPrA8FXxmdCTj7aUBAoj7Qd8h7evbApump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1272
28JfVGT92H7NoVUPRda1RkoUzosMc2cki1gkHPqGpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,898
28LeNJN9V8PGnsNgWbxrzSsek7upZBMQYAMrnE7Cpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,143
28PTWEwZvfep1GugY9JDkjMuyUVswzFhXwc5pFNapump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,976
28SDypp2snij7m5AfsKpr8vbUkZHm7cVz8ZaHggwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,579
28gBfdqoTdbVJnmqZK4hg9rZ7RGJk4Ru37VrbA15pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,67
28iQnLjgX5FtHbXp13bQHJubtSmKQxhQeUtFWKw5pump,B4XnvaPovToT8tgSSasXmspCxoCJXqmjuSDUJfHMbD2j,False,24601
28wEF6RXtsaNkmEFgvrFsxzv2dN3vzfdyUfh8w71pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,868
28zCyAYtLrumBCAMHKiXnt3vMnGQ9ng9djRQkkz7pump,DbcPo6aUZioHXSNMo3YQ5AhpJeLdxZpRttoNJGCgwzbG,False,1188
29BY5BHtLCG2mamRtC9hh9283U3QkbYLSCwXXmEJpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
29XMVt6sFF7MadYUcCjWnGKqJvYHP56PkWmCrChUpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,215
29YvnrCo2LzUXx8n3mzS23vbSEW28SYkcU2TGCFSpump,,False,24599
29bPiMik3DsmaCgSDstHusWtvkMttuZABgqGZS9Epump,,False,1071
29dLoejv4uaxAAps2LKjKyhGimpKUMtdS1JP8wDypump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24599
2ADp9RV8wqEgQTzZ6CjbCAAA4MpvyioCzVJ3jBhCpump,BMivqhFYUedFeaDtuV3iefhNdcGbvEDAE1PXQqiBhqK8,False,28000
2AESErFZL8U7m6mTVnKuJAVx4EjCJSrVZnEfAHqWpump,8Q1jPNjVUNSgMm5HR92er7V8PgRNkhPPxWYkFqXf9LXk,False,1
2AQP5hQeBz4zUEQg452NpgjiatRkaLJ8nAasDQGkpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
2AVUWwtMitujA2x7dhMxWog4XXMFLiSnHmoEmzkSpump,3q4rTRiYbLQsVcV5aRPHZ4B6y4p5Fvpp6Vwnpg7R8MLg,False,1305
2AVeceW8Z8duJdDgfpC9TrcoGXzew9hVerKJMVxipump,GjvfMYjB6uzKH8VJS7Jon13wkDvWKQNevsgr9Tf2fvaa,False,1
2AWtQUxLyWsWnxy8wk1Q8S93rwqi3qETyngcMh5Xpump,7NdWuCiM8wUMZXpsN9CN1GfEf76cwU5mhRxNp1NUm2Qv,False,24586
2AbqtGrE91qDw513k4UH8o3KguoGKkLY8Te7Tv8dpump,D3DV3LmF5oGWfowst7AC2tGTkGFuhy3aByAv1mR8wjQr,False,1
2AnGjpok28nmGcs1gs24amGDRGnAx8XTTtyPsec8pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,492
2ApzLG3eUDpMWRkd2JE3aP4ztLZrbQqbiSnVkqhNpump,GYJdoyP5xqFQa7NEtSPhY6sgc85DcG3JHg2g2W7TPiNd,False,12742
2Ato4ENUgSu9VafGhK5v4VoPLTV8cDaHWq9rKR8ppump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,2775
2B4dZwaNRdRkkDoAA1mJd5cvTFrP2VnqcwvGfoLVpump,6DmU9tQ1Xrm17Y8fwhsNrzg5nm5UGm8XehY3LwjPYnf8,False,512
2BNbJemvkUD3cdfzHxRcqWh6PYgVhi35Gvi9EguJpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,972
2BUZ19fT8TYvPzhuvtCCp9ceu9eNRCmY11S4vSATpump,AH3QRuJFWNhPGd18nEwL7pgssJNc59ZgXxG72PtyqNJ1,False,1
2BcpbpUSCmM8DTKZWisnEHRjGBJqpfFUEjDbiSz6pump,iJLwhBNSvLiQSaFA95vFSq42BfBD3e8aqwMQ65kUJjg,False,19873
2BdrhzorsfqWfd3N9M9U4pLb4uQYw1agTZPMSat2pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1249
2Bj3YDphkwBr4PuF3QJPEusyLXwVTgsQ9ezn7PD3pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1087
2BvQoi9B7uxiUHmcVTmaJggMLY48Vsa4yz41oX5bpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24600
2CYJ9qB6MJN3Tp6pTVjtUsk8hQynvByxbjpm1HDopump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24600
2CaQiSTwvXVpUkowkD12PzfKFQQbcDcVXq4zejEwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1302
2CnXM8udLCCrFcT93MzW76KcD8qreiD7uwUnY8nApump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24600
2D81gQK97WvhasfVmgToNsLNaHVURc8jYzWXvwnwpump,6D9CN27M2hxubQPyTFiuJUcKfGrg2zoTmgs7DC4XSijr,False,217
2DPB5w4FTG4moLoR4W49CVJrkhefuSRUBp9aDAUnpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,36061
2DWYC19ULy5NRBv69NFNtukz1fztrEASzRye9qECpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
2DcMTdaw37pX5Nsyab4zLvKTRUZ3up9KtgyGPEwBpump,Es2K18CYCQUCStzGojb3vyuiu5cPVHPawo8zL75BT8Rc,False,1
2DiSkVasHAzw9zvkCZJqFzYMARopfd9ufvLzQQN5pump,G7xiGaKcFskrBnQQ4PVBZgPdLSzC3hbXEHfYAMcQJwFN,False,24601
2DmhxNf5dG9wY4KqYkzdjGB4qajfgQ4thmbNe7Aipump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1277
2DnQiJLsqpbs9VMKsrqMsja9ffPySYaF1JAxLgHxpump,,False,729
2DpXfXEfWzcVoA85CYGLRbk8amBmnWbDWWEsapmkpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,141
2E39M7dCbfk7gxoSpPuLiVuEFmsBAKJ8EEjBr9nMpump,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,False,24601
2E3qS1oSVbeLxQEhdSrVDMn5ruhCg5JQCqPXKpwWpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,783
2E4ZwtV14k3Wck3gSZ3PBpL4whkZ37dHsLpjFGKcpump,ATqewRsiCHgbrrYzR4dXvdAXzSURcL5sfbG9FJ9KQhE3,False,2001
2E6SSuVKVrQ6113KpWvzvhfY9yQ647E83V6e656fpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
2EhKhPzvAvvbYajyJxA9MKby9zTWxnNhJNeSqSntpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1255
2EkXL7TMGcQkWDowZogVaB7JewSegJQE4vb9H45ppump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,862
2EmHs58HjXbz324fwojWyaE2qKSKN75RMSK2fA5ypump,6M5acALJ6cKGyRMjdn7GyC4Dnn4cNKmZ5ZWti98hnxNZ,False,1
2FKMWYwr17j7AHexcgcQbn5gwZTsYR86qBPrU1BHpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
2FR2ou9sU5RdDSeriyhGS4Z2WcAuPEx24qtaBAZFpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1293
2FRdPrJpcHsCHvEfqiGMkhgoD7XyYJbFHA1YaQWXpump,3zjkh9McZiYumrrTkim9Z6v7MsRhEqvJ5bnQD1vUbr87,False,24601
2FUC9QMmzUmJdWWK3AcfXXjZYfLYbrUdQ7VLMidNpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,545
2FcToeamAnGHyfbHvGRfqcpfQiRz2iPsY9GyLrgTpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24601
2FdJAQTJ49Vx4PNFuvtpooZpHHZb2JxTjtFbf6zCpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,498
2G8LH53fcr3aCrEsmAo73eunbZRbyjKrGH5qmur6pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
2G9WuVy7dYrKbGRS87iES8FycCEkDivigXJGubw9pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,26561
2GKuH8nrqnKiiNvE6abpTgHX7w5rGsiQTDnNRkZCpump,,False,1253
2GMEDWxPhdBicySMjUky49UHgXutxQ8SJjWyrcKPpump,,False,1
2GUhmMQgResRhaCwT8i3ugHv7eKhV2he5DKdipp3pump,52mXWzgdyhTYx5nBPxZEDCUn8RP6oPszZNrtBRiYAsJs,False,1
